sat_id,toc,toe,af0,af1,af2,sqrtA,e,i0,Omega0,omega,M0,DeltaN,IDOT,Cuc,Cus,Crc,Crs,Cic,Cis,health,is_healthy,parse_status
C33,2026-04-01 10:00:00,295200.0,-0.0009236957412213,2.838618229362e-12,0.0,37.552734375,0.000628003384918,0.9868889659896,-2.115946810318,-0.09461583306065,-2.245854111307,3.617472110805e-09,5.75559688657e-10,3.54740768671e-06,5.496665835381e-06,263.5625,71.3125,-2.98023223877e-08,4.842877388e-08,0.0,yes,ok
C33,2026-04-01 11:00:00,298800.0,-0.0009236855548806,2.838618229362e-12,0.0,41.951171875,0.0006288557779044,0.9868910959983,-2.115971086712,-0.0946635410136,-1.758239111819,3.592292490544e-09,5.425225982439e-10,3.40398401022e-06,5.532056093216e-06,262.7578125,68.203125,-4.19095158577e-08,-1.862645149231e-09,0.0,yes,ok
C33,2026-04-01 11:00:00,298800.0,-0.0009236855548806,2.838618229362e-12,0.0,41.951171875,0.0006288557779044,0.9868910959983,-2.115971086712,-0.0946635410136,-1.758239111819,3.592292490544e-09,5.425225982439e-10,3.40398401022e-06,5.532056093216e-06,262.7578125,68.203125,-4.19095158577e-08,-1.862645149231e-09,0.0,yes,ok
C33,2026-04-01 12:00:00,302400.0,-0.0009236758342013,2.800426557314e-12,0.0,64.326171875,0.0006277838838287,0.9868930519198,-2.115995403336,-0.09575082854349,-1.269588672813,3.542826144358e-09,5.24664711534e-10,3.520399332047e-06,5.694106221199e-06,258.80078125,71.0625,-1.210719347e-08,-1.303851604462e-08,0.0,yes,ok
C33,2026-04-01 12:00:00,302400.0,-0.0009236758342013,2.800426557314e-12,0.0,64.326171875,0.0006277838838287,0.9868930519198,-2.115995403336,-0.09575082854349,-1.269588672813,3.542826144358e-09,5.24664711534e-10,3.520399332047e-06,5.694106221199e-06,258.80078125,71.0625,-1.210719347e-08,-1.303851604462e-08,0.0,yes,ok
C33,2026-04-01 13:00:00,306000.0,-0.0009236659971066,2.776445739983e-12,0.0,75.3984375,0.0006267459248193,0.9868949368897,-2.116019858938,-0.09832197655641,-0.7794560454387,3.514074946755e-09,5.230575017302e-10,3.444962203503e-06,6.007961928844e-06,251.703125,69.37890625,-8.381903171539e-09,-1.210719347e-08,0.0,yes,ok
C33,2026-04-01 13:00:00,306000.0,-0.0009236659971066,2.776445739983e-12,0.0,75.3984375,0.0006267459248193,0.9868949368897,-2.116019858938,-0.09832197655641,-0.7794560454387,3.514074946755e-09,5.230575017302e-10,3.444962203503e-06,6.007961928844e-06,251.703125,69.37890625,-8.381903171539e-09,-1.210719347e-08,0.0,yes,ok
C33,2026-04-01 14:00:00,309600.0,-0.0009236553451046,2.84217094304e-12,0.0,59.134765625,0.0006266526179388,0.9868968840337,-2.116044367936,-0.09876980577029,-0.2914438688127,3.52550399425e-09,5.248432904011e-10,3.397464752197e-06,6.048940122128e-06,250.78515625,68.546875,7.450580596924e-09,-1.955777406693e-08,0.0,yes,ok
C33,2026-04-01 14:00:00,309600.0,-0.0009236553451046,2.84217094304e-12,0.0,59.134765625,0.0006266526179388,0.9868968840337,-2.116044367936,-0.09876980577029,-0.2914438688127,3.52550399425e-09,5.248432904011e-10,3.397464752197e-06,6.048940122128e-06,250.78515625,68.546875,7.450580596924e-09,-1.955777406693e-08,0.0,yes,ok
C33,2026-04-01 15:00:00,313200.0,-0.0009236452169716,2.835065515683e-12,0.0,32.611328125,0.0006260042428039,0.9868988845741,-2.116068772335,-0.09657400084335,0.1939283785125,3.542647565491e-09,5.185930300527e-10,3.618188202381e-06,6.229616701603e-06,247.125,73.01171875,2.514570951462e-08,6.519258022308e-09,0.0,yes,ok
